年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2024,新北市,香蕉,116589,101767,80.38,71.67,11.783,16731.413,1199.14,香蕉
2024,臺北市,香蕉,9841,9841,7.89,7.89,7.866,9810.773,77.407,香蕉
2024,桃園市,香蕉,44598,41106,59.52,54.5,17.39,13116.314,714.839,香蕉
2024,臺中市,香蕉,562009,551388,609.76,600.67,16.454,15104.321,9072.712,香蕉
2024,臺南市,香蕉,1329655,1314115,938.08,927.72,12.982,18388.96,17059.806,香蕉
2024,高雄市,香蕉,3981992,3946801,2218.36,2198.49,11.742,21079.861,46343.863,香蕉
2024,宜蘭縣,香蕉,108515,98987,71.33,64.96,9.754,14863.516,965.534,香蕉
2024,新竹縣,香蕉,155738,152462,111.49,108.76,12.148,17029.542,1852.133,香蕉
2024,苗栗縣,香蕉,173811,173658,130.81,130.71,16.608,22064.921,2884.106,香蕉
2024,彰化縣,香蕉,192285,189658,128.29,126.49,15.394,23080.963,2919.511,香蕉
2024,南投縣,香蕉,3303483,3289581,2654.63,2644.82,12.472,15511.855,41026.064,香蕉
2024,雲林縣,香蕉,1369387,1306818,727.7,695.47,12.445,23384.683,16263.346,香蕉
2024,嘉義縣,香蕉,3505636,3388582,2274.66,2200.08,9.005,13869.678,30514.401,香蕉
2024,屏東縣,香蕉,7207234,6973142,4082.39,3948.98,14.389,25408.176,100336.379,香蕉
2024,臺東縣,香蕉,713180,673519,446.4,421.48,9.633,15393.838,6488.195,香蕉
2024,花蓮縣,香蕉,349826,149699,219.48,89.74,7.721,12878.928,1155.755,香蕉
2024,澎湖縣,香蕉,2294,2214,2.25,2.15,15.022,15469.302,33.259,香蕉
2024,基隆市,香蕉,5123,5123,3.78,3.78,7.643,10358.466,39.155,香蕉
2024,新竹市,香蕉,11407,11407,7.31,7.31,9.936,15504.35,113.337,香蕉
2024,嘉義市,香蕉,41415,39735,27.61,26.49,7,10500,278.145,香蕉
2024,金門縣,香蕉,1600,1600,0.8,0.8,7.094,14187.5,11.35,香蕉
2024,連江縣,香蕉,-,-,-,-,-,-,-,香蕉
