year,city_id,crop_id,altitude,planted_area,harvested_area,production
2024,TYN,H2,Low,0.31,0.28,3.194
2024,HSQ,H2,Low,0.5,0.5,8.25
2024,HSC,H2,Low,3.56,3.56,39.27
2024,NTP,H2,Low,4.85,4.51,66.826
2024,CHA,H2,Low,76.7,76.7,858.184
2024,PIF,H2,Low,0.3,,
2024,ILA,H2,Low,2.9,2.9,46.867
2024,KEE,H2,Low,,,
2024,CYQ,H2,Low,62.21,62.21,674.253
2024,CYI,H2,Low,12.4,12.4,172.848
2024,NTO,H2,Low,22.52,22.22,260.91
2024,KHH,31,Low,11.64,11.54,96.78
2024,YUN,31,Low,7.64,7.54,98.796
2024,KIN,31,Low,,,
2024,LIE,31,Low,,,
2024,MLI,31,Low,0.68,0.68,6.381
2024,HUA,31,Low,16.72,13.52,152.676
2024,TTT,31,Low,4953.35,4806.39,16135.371
2024,TNN,31,Low,74.41,74.41,1101.209
2024,TPE,31,Low,,,
2024,TXG,31,Low,33.27,32.79,412.02
2024,PEN,31,Low,0.27,0.27,0.762
2024,TYN,31,Low,0.1,0.1,0.36
2024,HSQ,31,Low,0.5,0.5,3
2024,HSC,31,Low,,,
2024,NTP,31,Low,0.21,0.15,0.606
2024,CHA,31,Low,20.6,20.2,175.973
2024,PIF,31,Low,19.51,13.06,122.912
2024,ILA,31,Low,0.52,0.22,2.328
2024,KEE,31,Low,,,
2024,CYQ,31,Low,3.22,3.22,27.184
2024,CYI,31,Low,,,
2024,NTO,31,Low,4.55,4.35,65.799
2024,KHH,72,Low,464.76,464.76,11365.46
2024,YUN,72,Low,473.22,473.22,12244.254
2024,KIN,72,Low,0.79,0.79,15.36
2024,LIE,72,Low,,,
2024,MLI,72,Low,195.39,195.39,4161.784
2024,HUA,72,Low,39.28,39.28,539.483
2024,TTT,72,Low,47.19,47.19,1074.168
2024,TNN,72,Low,418.72,418.72,10075.781
2024,TPE,72,Low,16.42,16.42,236.403
2024,TXG,72,Low,128.17,128.17,2910.786
2024,PEN,72,Low,7.72,7.72,77.577
2024,TYN,72,Low,10.2,10.18,158.858
2024,HSQ,72,Low,48.7,48.7,952.429
2024,HSC,72,Low,0.45,0.45,7.35
2024,NTP,72,Low,2.77,2.77,31.166
2024,CHA,72,Low,292.01,292.01,7470.119
2024,PIF,72,Low,58.79,58.61,1450.745
2024,ILA,72,Low,54.63,54.03,1370.98
2024,KEE,72,Low,0.04,0.04,0.38
2024,CYQ,72,Low,831.34,831.34,17197.022
2024,CYI,72,Low,4.97,4.97,93.372
2024,NTO,72,Low,541.48,541.48,11967.307
2024,KHH,P1,Low,2754.14,2719.09,55421.19
2024,YUN,P1,Low,362.46,356.19,7899.715
2024,KIN,P1,Low,1.17,1.17,13.335
2024,LIE,P1,Low,,,
2024,MLI,P1,Low,56.75,55.07,957.448
2024,HUA,P1,Low,78.62,67.78,877.884
2024,TTT,P1,Low,117.49,111.14,1692.121
2024,TNN,P1,Low,1637.19,1603.47,29364.945
2024,TPE,P1,Low,3.15,3.15,28.953
2024,TXG,P1,Low,145.02,140.78,2658.195
2024,PEN,P1,Low,5.31,5.28,23.639
2024,TYN,P1,Low,33.14,26.06,290.045
2024,HSQ,P1,Low,24.89,23.64,409.883
2024,HSC,P1,Low,10.32,10.32,183.851
2024,NTP,P1,Low,51.44,44.78,495.477
2024,CHA,P1,Low,1374.27,1350.53,39008.254
2024,PIF,P1,Low,612.79,562.07,12331.965
